zip,lat,lng,city,state_id,population
30331,33.70627,-84.54439,Atlanta,GA,63418
32244,30.2171,-81.75384,Jacksonville,FL,63352
10312,40.54489,-74.18084,Staten Island,NY,63345
78520,25.96564,-97.55103,Brownsville,TX,63337
07093,40.78675,-74.00871,West New York,NJ,63321
42101,37.06552,-86.47809,Bowling Green,KY,63290
55044,44.64156,-93.27858,Lakeville,MN,63280
21740,39.63233,-77.73902,Hagerstown,MD,63140
30062,33.99977,-84.46899,Marietta,GA,63105
92404,34.17862,-117.23891,San Bernardino,CA,63067
95608,38.62611,-121.32886,Carmichael,CA,63052
93291,36.38931,-119.36838,Visalia,CA,63049
75150,32.81545,-96.6308,Mesquite,TX,63023
27703,35.96299,-78.80452,Durham,NC,62994
91977,32.72387,-116.99631,Spring Valley,CA,62957
30083,33.79641,-84.19231,Stone Mountain,GA,62941
90026,34.07883,-118.2637,Los Angeles,CA,62902
30101,34.04355,-84.71244,Acworth,GA,62871
78574,26.31118,-98.37293,Mission,TX,62852
92223,33.9382,-116.98137,Beaumont,CA,62797
34744,28.2954,-81.34675,Kissimmee,FL,62756
43055,40.1168,-82.37672,Newark,OH,62697
10024,40.78534,-73.97138,New York,NY,62576
91761,34.03541,-117.5915,Ontario,CA,62506
19143,39.94315,-75.22664,Philadelphia,PA,62503
90731,33.7334,-118.27398,San Pedro,CA,62452
43130,39.70013,-82.60992,Lancaster,OH,62450
02360,41.87817,-70.63089,Plymouth,MA,62405
48180,42.22605,-83.26881,Taylor,MI,62405
37066,36.39871,-86.45594,Gallatin,TN,62404
92618,33.66729,-117.73362,Irvine,CA,62296
78664,30.50461,-97.64583,Round Rock,TX,62272
77493,29.85193,-95.83025,Katy,TX,62264
20874,39.1291,-77.29721,Germantown,MD,62233
92703,33.74853,-117.90621,Santa Ana,CA,62223
73160,35.33574,-97.47651,Oklahoma City,OK,62205
37040,36.52408,-87.33287,Clarksville,TN,62137
32825,28.53681,-81.24243,Orlando,FL,62035
44035,41.36539,-82.13025,Elyria,OH,62024
33032,25.52963,-80.39234,Homestead,FL,62021
33064,26.27806,-80.11524,Pompano Beach,FL,62000
60073,42.3516,-88.10597,Round Lake,IL,62000
83301,42.39472,-114.52203,Twin Falls,ID,61968
70726,30.42994,-90.90361,Denham Springs,LA,61965
37027,35.99978,-86.78439,Brentwood,TN,61961
92507,33.97464,-117.32234,Riverside,CA,61920
85345,33.57215,-112.24838,Peoria,AZ,61822
78504,26.27758,-98.23728,Mcallen,TX,61816
78249,29.56752,-98.614,San Antonio,TX,61772
91702,34.24129,-117.82614,Azusa,CA,61766
94806,37.97811,-122.33618,San Pablo,CA,61749
92620,33.70661,-117.75695,Irvine,CA,61744
59901,48.22873,-114.40564,Kalispell,MT,61710
78251,29.46292,-98.67763,San Antonio,TX,61683
90022,34.02455,-118.15608,Los Angeles,CA,61638
90640,34.01506,-118.111,Montebello,CA,61615
19446,40.23068,-75.30369,Lansdale,PA,61608
91343,34.23837,-118.48076,North Hills,CA,61607
21122,39.11631,-76.49941,Pasadena,MD,61589
32818,28.58518,-81.48716,Orlando,FL,61574
31907,32.48388,-84.89976,Columbus,GA,61544
30906,33.34842,-81.97239,Augusta,GA,61415
95051,37.3483,-121.98444,Santa Clara,CA,61345
21117,39.42719,-76.77795,Owings Mills,MD,61337
80504,40.16523,-105.03029,Longmont,CO,61305
02155,42.42324,-71.10878,Medford,MA,61276
92801,33.84441,-117.95175,Anaheim,CA,61218
06010,41.681,-72.94065,Bristol,CT,61206
07047,40.79376,-74.02416,North Bergen,NJ,61202
27616,35.86735,-78.53792,Raleigh,NC,61161
30016,33.51836,-83.93073,Covington,GA,61123
32808,28.57932,-81.44342,Orlando,FL,61123
78745,30.20743,-97.79822,Austin,TX,61122
95014,37.30827,-122.07981,Cupertino,CA,61109
10460,40.84273,-73.87891,Bronx,NY,61101
95127,37.37453,-121.78733,San Jose,CA,61091
30066,34.034,-84.50798,Marietta,GA,60961
02169,42.23971,-71.01802,Quincy,MA,60928
30263,33.38852,-84.85911,Newnan,GA,60906
92530,33.63386,-117.37949,Lake Elsinore,CA,60877
22030,38.83891,-77.34188,Fairfax,VA,60855
90660,33.98868,-118.09111,Pico Rivera,CA,60821
92627,33.64786,-117.9205,Costa Mesa,CA,60751
23456,36.73435,-76.03492,Virginia Beach,VA,60744
11550,40.70158,-73.62039,Hempstead,NY,60658
98208,47.90072,-122.18852,Everett,WA,60616
37129,35.92556,-86.44098,Murfreesboro,TN,60615
19720,39.645,-75.60678,New Castle,DE,60593
95828,38.48943,-121.39598,Sacramento,CA,60532
60016,42.05232,-87.8899,Des Plaines,IL,60520
85008,33.46355,-111.98746,Phoenix,AZ,60499
95355,37.6727,-120.94717,Modesto,CA,60470
32246,30.29422,-81.51782,Jacksonville,FL,60443
08854,40.54648,-74.46342,Piscataway,NJ,60405
33511,27.9099,-82.29405,Brandon,FL,60399
79924,31.90224,-106.41355,El Paso,TX,60399
11210,40.62801,-73.94631,Brooklyn,NY,60398
30114,34.24433,-84.5393,Canton,GA,60340
07111,40.72426,-74.23173,Irvington,NJ,60334
93313,35.16363,-119.04715,Bakersfield,CA,60331
10031,40.82485,-73.95023,New York,NY,60305
44060,41.67742,-81.32806,Mentor,OH,60257
28227,35.18851,-80.6507,Charlotte,NC,60162
92571,33.84182,-117.19522,Perris,CA,60153
80219,39.69496,-105.03432,Denver,CO,60095
02151,42.41887,-71.004,Revere,MA,59949
11216,40.68085,-73.94929,Brooklyn,NY,59913
60619,41.74346,-87.60532,Chicago,IL,59892
75070,33.15587,-96.69742,Mckinney,TX,59859
10473,40.81817,-73.85889,Bronx,NY,59778
92130,32.94763,-117.20586,San Diego,CA,59768
92071,32.85045,-116.99479,Santee,CA,59739
78526,25.99587,-97.44991,Brownsville,TX,59719
32771,28.81496,-81.31751,Sanford,FL,59708
65203,38.89497,-92.39928,Columbia,MO,59663
33065,26.27318,-80.26029,Coral Springs,FL,59653
23320,36.75208,-76.21807,Chesapeake,VA,59626
31088,32.58587,-83.65528,Warner Robins,GA,59599
80022,39.86448,-104.78868,Commerce City,CO,59556
89052,35.97988,-115.10788,Henderson,NV,59542
83686,43.49643,-116.61207,Nampa,ID,59532
43230,40.03648,-82.87057,Columbus,OH,59522
43068,39.95667,-82.78468,Reynoldsburg,OH,59399
76137,32.85864,-97.29137,Fort Worth,TX,59384
95670,38.60461,-121.27963,Rancho Cordova,CA,59314
27526,35.54179,-78.8274,Fuquay Varina,NC,59306
90019,34.04861,-118.33874,Los Angeles,CA,59288
33414,26.64829,-80.24943,Wellington,FL,59229
92707,33.70991,-117.87045,Santa Ana,CA,59213
60628,41.69165,-87.61828,Chicago,IL,59212
93458,34.95477,-120.49042,Santa Maria,CA,59126
78501,26.21599,-98.2391,Mcallen,TX,59095
22192,38.68358,-77.31821,Woodbridge,VA,59034
43015,40.29812,-83.06049,Delaware,OH,59027
29445,32.9976,-79.98757,Goose Creek,SC,59011
10128,40.78151,-73.95018,New York,NY,59000
21222,39.26424,-76.49537,Dundalk,MD,58935
77396,29.94778,-95.26129,Humble,TX,58893
91770,34.06395,-118.08361,Rosemead,CA,58893
95111,37.28401,-121.82731,San Jose,CA,58885
75149,32.76994,-96.6151,Mesquite,TX,58849
90004,34.07624,-118.31101,Los Angeles,CA,58844
99208,47.78071,-117.46135,Spokane,WA,58834
77015,29.76485,-95.17216,Houston,TX,58822
92647,33.72395,-118.00685,Huntington Beach,CA,58794
77072,29.70006,-95.58539,Houston,TX,58681
29485,32.94398,-80.19362,Summerville,SC,58670
30318,33.79235,-84.44831,Atlanta,GA,58651
48044,42.64988,-82.9296,Macomb,MI,58631
83709,43.55212,-116.28847,Boise,ID,58631
43228,39.96367,-83.12478,Columbus,OH,58607
93030,34.2051,-119.1753,Oxnard,CA,58573
78681,30.5355,-97.71981,Round Rock,TX,58531
94591,38.12702,-122.19635,Vallejo,CA,58516
92020,32.79557,-116.9697,El Cajon,CA,58490
33578,27.86187,-82.34775,Riverview,FL,58474
11238,40.67105,-73.96636,Brooklyn,NY,58462
78753,30.38353,-97.67335,Austin,TX,58449
11435,40.70111,-73.80968,Jamaica,NY,58424
27713,35.88401,-78.936,Durham,NC,58409
87124,35.27144,-106.79627,Rio Rancho,NM,58402
30144,34.03672,-84.59174,Kennesaw,GA,58389
