city,state_id,lat,lng,population,zips
Short Pump,VA,37.6549,-77.6201,28177,23059 23233
Citrus Park,FL,28.073,-82.5628,28163,33625 33556
Chaska,MN,44.8164,-93.6091,28146,55318
Ridgecrest,CA,35.6308,-117.6622,28138,93555 93556
Allen Park,MI,42.2595,-83.2107,28128,48101
Maple Valley,WA,47.3659,-122.0368,28121,98038
Oakdale,MN,44.9876,-92.9641,28109,55128
Glen Cove,NY,40.8709,-73.6287,28101,11542
Ramsey,MN,45.2617,-93.4494,28070,55303
Crestview,FL,30.7477,-86.5785,28046,32539 32536
Clayton,NC,35.659,-78.4498,28043,27520 27527 27528
Tysons,VA,38.9215,-77.2273,28022,22102 22182
Henderson,KY,37.8397,-87.5798,27994,42420 42419
Maryland Heights,MO,38.7189,-90.4749,27981,63043 63146
Williston,ND,48.1814,-103.6364,27964,58801 58802 58803
New Iberia,LA,30.0049,-91.8202,27926,70560 70563 70562
Lake Jackson,TX,29.0516,-95.4521,27902,77515 77566
Huntley,IL,42.1599,-88.433,27859,60142
Walnut,CA,34.0334,-117.8593,27857,91789 91788
Prior Lake,MN,44.7246,-93.4419,27832,55372 55379
Hamtramck,MI,42.3954,-83.0559,27830,48211 48212
Shirley,NY,40.7936,-72.8748,27807,11967
Monsey,NY,41.1181,-74.0682,27787,10952 10977
Garden City,KS,37.9753,-100.8527,27781,67846
Madison,MS,32.4738,-90.13,27775,39110 39130
McHenry,IL,42.3387,-88.2932,27774,60050
Reisterstown,MD,39.455,-76.814,27764,21117 21136
South Laurel,MD,39.0603,-76.8456,27736,20708 20709 20726
Tualatin,OR,45.3772,-122.7748,27710,97062
Alvin,TX,29.3872,-95.2938,27700,77511 77583 77512
Homewood,AL,33.4619,-86.809,27697,35229 35209 35219 35293
Mount Pleasant,WI,42.7129,-87.8876,27694,53405 53406 53403 53177
Dodge City,KS,37.7611,-100.0182,27652,67801
West Melbourne,FL,28.0694,-80.6736,27643,32904
Drexel Heights,AZ,32.1453,-111.048,27636,85757 85746
Williamsport,PA,41.2399,-77.037,27629,17701 17703 17705
Lochearn,MD,39.3461,-76.7307,27591,21208 21207
Silver Springs Shores,FL,29.1126,-82.0149,27556,34472
Ilchester,MD,39.2187,-76.7683,27552,21043 21075
Wilmette,IL,42.0771,-87.7282,27550,60091
Belmont,CA,37.5154,-122.2953,27505,94002
Mililani Town,HI,21.4465,-158.0147,27495,96789
Marshalltown,IA,42.0343,-92.9068,27491,50158
Lemon Grove,CA,32.7331,-117.0344,27489,91945 91946
Athens,AL,34.7843,-86.9503,27474,35611 35613 35612
Pearl,MS,32.273,-90.0918,27458,39208
New Lenox,IL,41.5095,-87.9703,27456,60451
Kernersville,NC,36.1065,-80.0842,27439,27284 27285
Millville,NJ,39.3903,-75.0561,27432,08332
Clinton,MS,32.354,-90.3403,27418,39058 39056
Neenah,WI,44.1669,-88.4767,27409,54956 54957
Marion,IN,40.5497,-85.6604,27384,46953 46952
Green,OH,40.9483,-81.4757,27381,44685 44232 44312 44319 44216 44720
Asheboro,NC,35.7158,-79.8127,27353,27205 27203
Deer Park,NY,40.7623,-73.3218,27334,11729
Fremont,NE,41.4395,-96.4873,27321,68025 68026
Union City,GA,33.5942,-84.5629,27300,30349 30291 30213 31192
Thomasville,NC,35.8813,-80.0807,27261,27360 27361
Pooler,GA,32.1043,-81.2569,27235,31322
Wright,FL,30.4445,-86.6419,27233,32548 32547
New London,CT,41.3502,-72.1022,27199,06320
Kent,OH,41.149,-81.361,27190,44243 44240 44242
Balch Springs,TX,32.7194,-96.6151,27181,75180 75181
Celina,TX,33.3154,-96.7941,27141,75009 75078
Mason City,IA,43.1487,-93.1997,27135,50401 50402
Lindenhurst,NY,40.6858,-73.371,27106,11757
Gladstone,MO,39.2134,-94.5592,27069,64119 64118
Kahului,HI,20.8715,-156.4603,27068,96732 96733
West Linn,OR,45.367,-122.6399,27065,97068
Carrollton,GA,33.5818,-85.0838,27058,30118 30116 30117 30109 30112
Lemoore,CA,36.2949,-119.7983,27023,93245
Wooster,OH,40.8172,-81.9336,27012,44691
Sun City West,AZ,33.6695,-112.3573,27003,85375 85376
Fulshear,TX,29.693,-95.8804,26986,77441 77406
Waukee,IA,41.5985,-93.8869,26974,50263 50003
Mint Hill,NC,35.1783,-80.6528,26954,28227
Chicago Heights,IL,41.51,-87.6345,26938,60411 60412
Brawley,CA,32.9783,-115.5287,26934,92227
Temple Terrace,FL,28.0436,-82.3773,26922,33617 33637 33687
Leisure City,FL,25.4935,-80.4363,26917,33033
Garden City,MI,42.3244,-83.3412,26910,48135 48136
Paducah,KY,37.0711,-88.644,26894,42003 42001 42002
Oak Forest,IL,41.6054,-87.7527,26888,60452
Plum,PA,40.5024,-79.7495,26873,15139 15068 15239 15147 15268
Palm Springs,FL,26.6348,-80.0969,26871,33461 33406
Benicia,CA,38.0725,-122.1526,26861,94510
Woodburn,OR,45.1472,-122.8603,26845,97071
Kalispell,MT,48.2153,-114.3274,26830,59901 59904
South Portland,ME,43.631,-70.2895,26780,04106
Camas,WA,45.6005,-122.4304,26779,98607
Vernon Hills,IL,42.234,-87.9608,26772,60061
Ewa Gentry,HI,21.3344,-158.0262,26738,96706
Cabot,AR,34.9766,-92.0274,26733,72023
Lutz,FL,28.1396,-82.4467,26731,33548 33549 33559 33647 33675
Batavia,IL,41.8479,-88.3109,26730,60539 60510
Shoreview,MN,45.0842,-93.1358,26724,55126
Keystone,FL,28.1312,-82.5999,26723,33626 33556 33558
Palm River-Clair Mel,FL,27.9239,-82.3791,26719,33619 33660
Troy,OH,40.0437,-84.2186,26716,45373 45374
Wheeling,WV,40.0752,-80.6951,26670,26003
Granite City,IL,38.7296,-90.1268,26670,62048 62040
Horn Lake,MS,34.9512,-90.0501,26622,38637
West Islip,NY,40.7041,-73.2954,26559,11795
Superior,WI,46.6941,-92.0823,26550,54880 54874
Edwardsville,IL,38.7922,-89.9874,26543,62026 62025
Marysville,OH,40.2279,-83.3595,26540,43040 43041
Jenks,OK,35.9981,-95.9736,26519,74008 74037
